	tri_edge	dom/cod	sliced_ham	Grupo_Herdez	silks_velvets	WITH_RESPECT	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	puerto	visit_www.ewga.com	E_CigaretteDirect_LLC	NA
0	('Complete_Sweep_Of', 'Latest_Advancements')	Complete_Sweep_Of	0	218	15	109	197	113	83	42	146	77
1	('Complete_Sweep_Of', 'Latest_Advancements')	Latest_Advancements	0	179	50	136	179	123	74	48	134	77
2	('Complete_Sweep_Of', 'Mark_Abramson_MEDIANEWS')	Complete_Sweep_Of	0	280	10	151	163	129	52	135	51	29
3	('Complete_Sweep_Of', 'Mark_Abramson_MEDIANEWS')	Mark_Abramson_MEDIANEWS	0	233	8	143	231	139	31	146	40	29
4	('Complete_Sweep_Of', 'BOB_DROGIN')	Complete_Sweep_Of	0	268	24	121	200	124	95	48	97	23
5	('Complete_Sweep_Of', 'BOB_DROGIN')	BOB_DROGIN	0	271	19	101	257	122	104	18	85	23
6	('Complete_Sweep_Of', 'SIGNIFICANCE_OF')	Complete_Sweep_Of	0	289	14	67	216	111	156	44	83	20
7	('Complete_Sweep_Of', 'SIGNIFICANCE_OF')	SIGNIFICANCE_OF	0	125	8	50	471	67	179	21	59	20
8	('Complete_Sweep_Of', 'Preseason_Picks')	Complete_Sweep_Of	0	56	6	269	120	306	12	151	35	45
9	('Complete_Sweep_Of', 'Preseason_Picks')	Preseason_Picks	0	25	13	176	101	363	14	220	43	45
10	('Complete_Sweep_Of', 'visit_www.ewga.com')	Complete_Sweep_Of	0	266	11	140	147	109	145	48	117	17
11	('Complete_Sweep_Of', 'visit_www.ewga.com')	visit_www.ewga.com	0	20	6	92	285	169	173	126	112	17
12	('Complete_Sweep_Of', 'rookie_Alex_Prugh')	Complete_Sweep_Of	0	269	26	117	134	102	88	46	148	70
13	('Complete_Sweep_Of', 'rookie_Alex_Prugh')	rookie_Alex_Prugh	0	118	29	146	169	175	83	76	134	70
14	('Latest_Advancements', 'Complete_Sweep_Of')	Latest_Advancements	0	194	52	150	185	137	66	36	104	76
